Designator,Mid X,Mid Y,Rotation,Layer
C1,103.5,-123.0,270.0,top
C10,106.25,-123.0,90.0,top
C11,104.57,-125.0,180.0,top
C12,99.25,-115.5,180.0,top
C2,104.75,-122.25,270.0,top
C3,116.0,-120.25,270.0,top
C4,114.75,-120.0,270.0,top
C5,117.25,-119.25,270.0,top
C6,116.5,-125.25,0.0,top
C7,114.75,-116.5,270.0,top
C8,95.5,-111.5,180.0,top
C9,102.25,-111.5,0.0,top
D1,99.5,-118.75,0.0,top
D2,101.0,-120.5,180.0,top
D3,102.25,-116.7125,90.0,top
J1,88.5,-122.25,270.0,top
J2,112.78,-108.5,90.0,top
J3,113.03,-136.0,270.0,top
R1,97.5,-124.0,0.0,top
R10,102.25,-113.5,0.0,top
R2,97.5,-121.0,0.0,top
R3,103.25,-118.75,180.0,top
R4,116.25,-116.5,90.0,top
R5,118.25,-130.25,270.0,top
R6,104.25,-113.5,0.0,top
R7,113.5,-123.0,270.0,top
R8,115.25,-123.0,270.0,top
R9,103.25,-114.5,0.0,top
SW1,90.75,-114.0,0.0,top
SW3,90.75,-130.25,0.0,top
U1,132.24,-122.25,270.0,top
U2,99.25,-112.5,0.0,top
U3,98.5,-122.5,0.0,top
U4,109.5,-125.0,270.0,top
U5,109.4,-117.8,180.0,top
